class, NCLOC, DCP, NOCom,WMC
./src/main/java/org/jfree/chart/renderer/category/LayeredBarRenderer.java,291,32.01,12,80
./src/main/java/org/jfree/chart/renderer/category/LevelRenderer.java,222,44.91,12,42
./src/main/java/org/jfree/chart/renderer/category/LineAndShapeRenderer.java,379,51.03,14,89
./src/main/java/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java,268,45.64,11,48
./src/main/java/org/jfree/chart/renderer/category/ScatterRenderer.java,269,49.63,13,63
./src/main/java/org/jfree/chart/renderer/category/StackedAreaRenderer.java,284,35.16,12,50
./src/main/java/org/jfree/chart/renderer/category/StackedBarRenderer.java,216,37.57,11,47
./src/main/java/org/jfree/chart/renderer/category/StandardBarPainter.java,106,47.52,6,31
./src/main/java/org/jfree/chart/renderer/category/StatisticalBarRenderer.java,342,33.98,12,70
./src/main/java/org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer.java,269,36.85,11,63
./src/main/java/org/jfree/chart/renderer/category/WaterfallBarRenderer.java,261,39.16,10,56
./src/main/java/org/jfree/chart/renderer/DefaultPolarItemRenderer.java,489,41.79,22,90
./src/main/java/org/jfree/chart/renderer/GrayPaintScale.java,82,59.61,7,31
./src/main/java/org/jfree/chart/renderer/LookupPaintScale.java,179,47.97,9,42
./src/main/java/org/jfree/chart/renderer/NotOutlierException.java,6,89.47,2,7
./src/main/java/org/jfree/chart/renderer/Outlier.java,70,64.29,2,18
./src/main/java/org/jfree/chart/renderer/OutlierList.java,49,68.59,3,17
./src/main/java/org/jfree/chart/renderer/OutlierListCollection.java,49,68.79,6,17
./src/main/java/org/jfree/chart/renderer/PaintScale.java,8,89.04,5,11
./src/main/java/org/jfree/chart/renderer/PolarItemRenderer.java,35,80.77,8,14
./src/main/java/org/jfree/chart/renderer/RendererState.java,31,69.9,3,10
./src/main/java/org/jfree/chart/renderer/RendererUtils.java,153,38.06,4,41
./src/main/java/org/jfree/chart/renderer/WaferMapRenderer.java,204,40.7,5,37
./src/main/java/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,974,36.09,30,178
./src/main/java/org/jfree/chart/renderer/xy/CandlestickRenderer.java,429,47.56,15,81
./src/main/java/org/jfree/chart/renderer/xy/ClusteredXYBarRenderer.java,200,39.02,12,51
./src/main/java/org/jfree/chart/renderer/xy/CyclicXYItemRenderer.java,249,43.02,4,47
./src/main/java/org/jfree/chart/renderer/xy/DefaultXYItemRenderer.java,6,88.46,2,8
./src/main/java/org/jfree/chart/renderer/xy/DeviationRenderer.java,168,50.88,8,42
./src/main/java/org/jfree/chart/renderer/xy/DeviationStepRenderer.java,173,38.65,3,44
